project_type,size_sqm,num_workers,location,materials,complexity,duration_days,project_type_encoded,location_encoded,materials_encoded
house,26.4,8,urban,standard,1,1,1,2,2
landscaping,240.7,9,suburban,basic,5,11,2,1,0
commercial,546.5,9,urban,basic,3,64,0,2,0
commercial,512.5,7,rural,premium,5,191,0,0,1
commercial,465.9,1,suburban,standard,1,106,0,1,2
renovation,74.4,10,suburban,standard,5,6,3,1,2
house,167.1,1,rural,standard,3,55,1,0,2
landscaping,256.7,10,suburban,standard,4,11,2,1,2
landscaping,169.8,9,rural,basic,2,5,2,0,0
commercial,686.7,9,suburban,standard,5,84,0,1,2
renovation,127.6,10,urban,standard,1,4,3,2,2
landscaping,339.4,9,urban,standard,2,13,2,2,2
commercial,691.3,6,urban,standard,1,89,0,2,2
commercial,390.8,10,rural,standard,1,39,0,0,2
renovation,38.2,6,suburban,premium,4,4,3,1,1
renovation,57.0,1,urban,standard,4,9,3,2,2
commercial,781.0,9,rural,standard,2,96,0,0,2
landscaping,206.0,5,urban,basic,3,7,2,2,0
commercial,492.0,2,suburban,basic,4,109,0,1,0
landscaping,159.1,10,rural,premium,1,5,2,0,1
house,139.6,7,urban,basic,2,12,1,2,0
house,159.5,8,urban,standard,3,15,1,2,2
house,174.3,7,rural,premium,3,22,1,0,1
renovation,90.6,2,urban,premium,3,11,3,2,1
commercial,595.9,9,urban,standard,3,75,0,2,2
renovation,97.1,7,rural,premium,5,11,3,0,1
house,201.7,2,urban,basic,1,21,1,2,0
renovation,103.9,7,rural,standard,2,5,3,0,2
commercial,492.2,9,suburban,standard,1,31,0,1,2
commercial,659.8,1,urban,premium,1,175,0,2,1
house,105.9,7,urban,basic,5,15,1,2,0
landscaping,138.7,9,urban,standard,2,3,2,2,2
commercial,598.2,5,suburban,basic,5,112,0,1,0
renovation,126.6,4,urban,premium,1,5,3,2,1
renovation,75.1,8,urban,basic,3,3,3,2,0
house,20.0,1,rural,basic,3,6,1,0,0
house,177.8,8,urban,basic,3,13,1,2,0
commercial,20.0,1,rural,premium,1,8,0,0,1
house,208.0,9,urban,premium,2,18,1,2,1
renovation,61.0,10,suburban,premium,1,3,3,1,1
house,167.7,9,urban,standard,1,13,1,2,2
house,118.3,6,rural,standard,5,19,1,0,2
renovation,119.6,4,suburban,premium,2,10,3,1,1
landscaping,300.3,7,suburban,premium,3,15,2,1,1
landscaping,193.9,7,rural,basic,5,11,2,0,0
house,187.5,6,suburban,standard,3,24,1,1,2
landscaping,270.2,10,rural,premium,1,10,2,0,1
renovation,71.6,9,suburban,premium,2,3,3,1,1
landscaping,134.6,10,suburban,premium,5,7,2,1,1
commercial,726.7,5,urban,standard,4,119,0,2,2
house,111.7,6,rural,basic,4,19,1,0,0
renovation,106.4,4,urban,standard,5,8,3,2,2
commercial,572.2,8,rural,premium,2,116,0,0,1
renovation,90.6,3,suburban,standard,3,9,3,1,2
house,180.5,4,urban,basic,2,12,1,2,0
commercial,174.0,10,suburban,standard,2,16,0,1,2
commercial,379.0,8,urban,basic,4,54,0,2,0
commercial,764.5,9,urban,standard,4,98,0,2,2
house,139.6,6,rural,basic,2,14,1,0,0
landscaping,119.1,5,suburban,premium,1,6,2,1,1
commercial,445.5,1,urban,premium,2,198,0,2,1
renovation,113.9,4,suburban,basic,4,9,3,1,0
renovation,45.9,5,rural,basic,4,4,3,0,0
house,158.8,9,urban,basic,5,14,1,2,0
renovation,64.5,3,urban,standard,1,4,3,2,2
house,59.2,7,urban,standard,4,7,1,2,2
house,113.8,1,rural,basic,3,35,1,0,0
landscaping,272.9,10,suburban,basic,4,9,2,1,0
landscaping,127.8,5,urban,premium,4,7,2,2,1
landscaping,300.0,6,suburban,standard,2,12,2,1,2
house,136.3,1,urban,premium,4,35,1,2,1
landscaping,215.5,7,urban,standard,5,13,2,2,2
renovation,89.6,1,suburban,basic,4,13,3,1,0
commercial,512.4,10,rural,basic,3,57,0,0,0
house,162.6,2,rural,premium,5,80,1,0,1
renovation,47.1,4,suburban,premium,4,5,3,1,1
renovation,117.6,10,suburban,basic,2,5,3,1,0
commercial,334.7,2,suburban,standard,2,84,0,1,2
landscaping,261.0,5,urban,basic,4,12,2,2,0
landscaping,97.5,6,suburban,standard,3,3,2,1,2
commercial,429.0,4,urban,premium,5,101,0,2,1
house,139.3,7,suburban,standard,1,12,1,1,2
commercial,217.8,8,urban,premium,3,38,0,2,1
landscaping,236.0,10,rural,standard,2,8,2,0,2
house,90.6,9,rural,premium,4,15,1,0,1
house,160.4,6,rural,basic,2,15,1,0,0
landscaping,93.4,6,rural,basic,2,4,2,0,0
landscaping,292.7,6,urban,basic,4,13,2,2,0
house,20.0,3,urban,premium,5,6,1,2,1
renovation,108.9,10,rural,standard,2,5,3,0,2
renovation,140.1,8,suburban,standard,4,8,3,1,2
landscaping,255.0,3,rural,premium,1,16,2,0,1
renovation,86.3,4,suburban,basic,4,7,3,1,0
commercial,559.8,5,suburban,premium,4,149,0,1,1
landscaping,106.7,9,rural,basic,5,7,2,0,0
landscaping,213.0,10,suburban,standard,3,10,2,1,2
landscaping,41.7,5,rural,basic,2,2,2,0,0
renovation,103.8,4,suburban,standard,1,4,3,1,2
house,170.6,2,suburban,standard,1,22,1,1,2
landscaping,280.0,5,rural,premium,1,15,2,0,1
commercial,97.5,2,suburban,premium,4,40,0,1,1
renovation,51.9,10,rural,standard,1,2,3,0,2
renovation,101.1,6,rural,basic,1,5,3,0,0
commercial,647.1,9,suburban,standard,2,70,0,1,2
house,97.4,6,rural,basic,5,10,1,0,0
landscaping,306.3,6,urban,premium,4,16,2,2,1
renovation,134.6,7,rural,basic,1,5,3,0,0
commercial,179.2,3,urban,premium,1,25,0,2,1
landscaping,140.3,3,urban,premium,1,7,2,2,1
renovation,126.5,5,urban,premium,1,8,3,2,1
house,138.2,4,rural,premium,1,22,1,0,1
renovation,93.8,4,rural,premium,1,9,3,0,1
landscaping,251.8,9,rural,basic,5,10,2,0,0
landscaping,170.8,5,rural,standard,4,9,2,0,2
house,130.9,2,urban,basic,1,15,1,2,0
commercial,487.3,8,urban,standard,5,61,0,2,2
house,62.6,2,urban,premium,1,10,1,2,1
renovation,80.9,8,suburban,standard,3,5,3,1,2
landscaping,172.5,1,suburban,standard,4,21,2,1,2
commercial,628.8,4,suburban,premium,1,97,0,1,1
house,100.2,2,suburban,basic,4,14,1,1,0
commercial,195.9,9,urban,premium,3,33,0,2,1
landscaping,172.8,5,urban,basic,5,8,2,2,0
renovation,75.6,9,rural,standard,2,3,3,0,2
renovation,53.4,3,urban,premium,2,5,3,2,1
commercial,679.7,4,rural,basic,1,96,0,0,0
commercial,671.4,8,suburban,basic,4,96,0,1,0
renovation,83.3,6,rural,standard,1,4,3,0,2
house,145.8,10,suburban,standard,2,11,1,1,2
commercial,797.7,10,urban,basic,3,91,0,2,0
commercial,351.9,9,urban,basic,3,41,0,2,0
commercial,916.9,4,suburban,standard,3,148,0,1,2
house,134.0,3,rural,basic,3,26,1,0,0
renovation,102.8,2,rural,standard,2,8,3,0,2
renovation,141.5,5,urban,premium,3,9,3,2,1
renovation,76.8,3,suburban,standard,3,5,3,1,2
house,147.3,8,rural,standard,2,13,1,0,2
landscaping,161.0,4,suburban,basic,2,5,2,1,0
house,63.5,1,rural,premium,2,29,1,0,1
landscaping,302.7,7,rural,premium,3,10,2,0,1
commercial,470.2,10,urban,basic,2,41,0,2,0
renovation,63.1,4,suburban,basic,2,3,3,1,0
commercial,578.6,5,suburban,basic,1,65,0,1,0
house,172.1,10,rural,premium,4,28,1,0,1
landscaping,378.0,8,urban,basic,2,13,2,2,0
commercial,343.9,9,urban,basic,3,40,0,2,0
renovation,56.8,8,rural,standard,4,5,3,0,2
renovation,83.9,10,rural,basic,1,3,3,0,0
landscaping,182.6,6,urban,basic,3,7,2,2,0
renovation,60.2,1,rural,standard,5,17,3,0,2
renovation,20.4,10,rural,standard,5,1,3,0,2
renovation,55.7,1,suburban,premium,1,10,3,1,1
commercial,514.9,9,urban,standard,1,46,0,2,2
house,51.3,8,urban,premium,1,5,1,2,1
house,147.7,2,urban,basic,2,17,1,2,0
house,178.5,4,urban,standard,2,18,1,2,2
commercial,20.0,5,rural,basic,2,3,0,0,0
commercial,382.7,6,urban,premium,2,57,0,2,1
house,177.7,3,urban,standard,3,21,1,2,2
renovation,56.5,9,suburban,basic,3,3,3,1,0
house,151.5,6,rural,basic,1,11,1,0,0
house,164.6,5,rural,standard,3,22,1,0,2
landscaping,177.2,4,rural,premium,5,20,2,0,1
renovation,88.9,8,urban,premium,4,6,3,2,1
house,181.1,5,rural,basic,5,29,1,0,0
house,205.2,10,urban,premium,5,35,1,2,1
house,128.7,3,urban,premium,1,14,1,2,1
commercial,866.8,1,urban,standard,3,323,0,2,2
house,144.5,5,suburban,premium,3,24,1,1,1
landscaping,225.1,1,rural,basic,1,21,2,0,0
renovation,76.8,5,urban,premium,3,5,3,2,1
landscaping,83.5,7,rural,premium,5,9,2,0,1
landscaping,286.9,4,urban,basic,3,11,2,2,0
house,99.4,4,urban,standard,2,14,1,2,2
landscaping,303.9,3,urban,premium,2,27,2,2,1
commercial,433.0,5,suburban,premium,2,59,0,1,1
commercial,468.3,9,rural,basic,1,45,0,0,0
landscaping,149.2,2,urban,basic,3,10,2,2,0
house,173.5,4,suburban,premium,5,46,1,1,1
house,29.8,3,rural,premium,3,9,1,0,1
house,146.2,1,urban,premium,1,34,1,2,1
house,156.5,6,rural,standard,1,17,1,0,2
landscaping,74.3,5,rural,premium,1,5,2,0,1
landscaping,367.3,10,suburban,basic,1,8,2,1,0
commercial,421.5,1,urban,premium,2,163,0,2,1
house,171.5,7,urban,premium,4,28,1,2,1
renovation,113.3,8,urban,premium,4,8,3,2,1
landscaping,251.5,4,suburban,basic,2,11,2,1,0
house,178.2,10,urban,basic,2,11,1,2,0
renovation,102.4,3,rural,standard,4,11,3,0,2
commercial,565.0,2,suburban,basic,5,183,0,1,0
commercial,646.2,2,suburban,basic,5,191,0,1,0
commercial,470.9,5,urban,premium,4,89,0,2,1
landscaping,101.1,2,suburban,basic,3,7,2,1,0
renovation,58.5,4,suburban,basic,3,4,3,1,0
commercial,846.9,8,rural,standard,1,80,0,0,2
commercial,595.1,4,urban,basic,2,100,0,2,0
landscaping,84.2,7,suburban,premium,5,7,2,1,1
landscaping,254.9,1,rural,basic,2,18,2,0,0
landscaping,198.3,4,suburban,premium,1,11,2,1,1
landscaping,275.7,1,rural,basic,4,46,2,0,0
house,169.5,6,urban,standard,1,14,1,2,2
commercial,522.2,8,urban,premium,3,84,0,2,1
renovation,108.2,2,urban,standard,2,7,3,2,2
house,171.8,6,rural,basic,1,16,1,0,0
commercial,628.1,6,suburban,premium,3,120,0,1,1
landscaping,245.8,9,urban,basic,3,6,2,2,0
commercial,292.4,9,urban,basic,1,25,0,2,0
renovation,77.7,1,suburban,basic,2,11,3,1,0
renovation,70.5,2,rural,basic,5,11,3,0,0
house,147.8,9,rural,premium,2,17,1,0,1
commercial,641.0,6,urban,basic,4,111,0,2,0
house,158.4,8,urban,standard,3,16,1,2,2
house,136.1,7,urban,basic,5,20,1,2,0
house,82.7,5,urban,standard,2,7,1,2,2
renovation,60.5,8,urban,premium,3,4,3,2,1
renovation,81.5,3,suburban,standard,3,8,3,1,2
house,111.4,6,suburban,premium,1,11,1,1,1
house,99.4,3,suburban,basic,5,20,1,1,0
renovation,39.9,4,urban,basic,4,3,3,2,0
commercial,545.1,9,rural,standard,5,135,0,0,2
house,134.5,5,suburban,premium,3,17,1,1,1
renovation,87.9,2,suburban,standard,4,11,3,1,2
commercial,649.2,6,urban,standard,3,92,0,2,2
house,232.3,4,rural,premium,3,71,1,0,1
landscaping,267.0,5,urban,standard,5,15,2,2,2
renovation,62.4,5,rural,premium,2,6,3,0,1
commercial,265.4,2,rural,standard,2,76,0,0,2
house,285.4,6,urban,basic,1,21,1,2,0
house,135.3,8,suburban,standard,5,18,1,1,2
commercial,734.4,6,rural,basic,3,151,0,0,0
house,130.7,6,urban,premium,1,8,1,2,1
house,187.6,5,urban,standard,3,19,1,2,2
house,125.8,9,urban,standard,4,12,1,2,2
landscaping,28.9,6,rural,premium,5,3,2,0,1
house,76.4,1,urban,basic,4,18,1,2,0
renovation,56.8,8,rural,premium,5,5,3,0,1
house,100.0,2,suburban,basic,4,16,1,1,0
commercial,468.3,8,rural,standard,5,86,0,0,2
commercial,385.9,2,suburban,basic,1,66,0,1,0
renovation,69.1,3,rural,premium,3,12,3,0,1
house,100.8,4,urban,basic,5,15,1,2,0
commercial,478.8,9,rural,basic,3,78,0,0,0
renovation,91.8,3,urban,premium,2,7,3,2,1
commercial,716.6,8,urban,basic,3,65,0,2,0
commercial,117.4,8,urban,standard,1,12,0,2,2
commercial,389.5,9,rural,premium,2,54,0,0,1
landscaping,383.4,2,rural,premium,4,71,2,0,1
renovation,78.1,1,urban,standard,4,11,3,2,2
commercial,399.2,2,rural,basic,5,165,0,0,0
landscaping,313.7,4,suburban,basic,5,21,2,1,0
renovation,77.4,5,rural,premium,4,12,3,0,1
commercial,355.0,1,suburban,basic,3,105,0,1,0
house,140.8,8,urban,premium,3,10,1,2,1
commercial,693.1,9,rural,basic,5,155,0,0,0
renovation,73.5,1,rural,basic,4,12,3,0,0
commercial,379.0,4,suburban,premium,5,132,0,1,1
commercial,386.1,6,urban,premium,2,56,0,2,1
renovation,68.4,10,urban,basic,3,2,3,2,0
house,157.6,8,suburban,premium,3,19,1,1,1
renovation,103.9,4,rural,standard,5,11,3,0,2
landscaping,271.1,3,rural,basic,2,20,2,0,0
house,98.0,10,rural,standard,3,11,1,0,2
commercial,522.7,10,urban,basic,5,69,0,2,0
commercial,778.2,8,suburban,premium,4,172,0,1,1
landscaping,180.7,6,suburban,basic,5,12,2,1,0
commercial,349.2,2,urban,standard,2,61,0,2,2
house,81.1,7,suburban,standard,1,7,1,1,2
renovation,49.1,1,urban,standard,2,5,3,2,2
landscaping,304.1,2,urban,premium,3,26,2,2,1
renovation,142.2,3,urban,standard,4,11,3,2,2
renovation,61.1,5,rural,standard,2,5,3,0,2
renovation,108.5,9,rural,premium,4,7,3,0,1
commercial,396.6,8,suburban,standard,3,58,0,1,2
landscaping,164.5,5,suburban,premium,3,10,2,1,1
renovation,84.2,1,rural,standard,1,10,3,0,2
landscaping,261.9,3,suburban,standard,1,13,2,1,2
landscaping,188.5,1,rural,standard,3,25,2,0,2
renovation,105.7,4,urban,basic,4,7,3,2,0
landscaping,198.9,1,suburban,premium,1,19,2,1,1
landscaping,41.4,10,suburban,premium,2,1,2,1,1
house,172.0,10,rural,premium,2,15,1,0,1
house,211.8,2,urban,premium,4,52,1,2,1
house,205.6,4,rural,basic,5,40,1,0,0
landscaping,202.3,3,suburban,basic,4,15,2,1,0
renovation,70.7,10,urban,standard,2,2,3,2,2
landscaping,98.6,10,suburban,basic,4,4,2,1,0
renovation,57.2,6,suburban,basic,3,3,3,1,0
renovation,32.3,7,urban,standard,1,1,3,2,2
landscaping,53.3,5,rural,standard,5,4,2,0,2
commercial,492.2,10,rural,basic,1,43,0,0,0
house,176.1,5,rural,standard,5,43,1,0,2
landscaping,275.2,6,suburban,basic,3,9,2,1,0
renovation,109.0,6,suburban,basic,1,5,3,1,0
house,174.6,9,suburban,standard,3,16,1,1,2
commercial,517.4,8,suburban,basic,3,62,0,1,0
landscaping,258.8,3,rural,standard,2,22,2,0,2
house,33.7,7,rural,basic,3,4,1,0,0
renovation,95.5,2,rural,basic,2,9,3,0,0
landscaping,253.5,1,rural,premium,1,32,2,0,1
commercial,365.8,1,rural,basic,1,85,0,0,0
house,170.5,2,urban,standard,2,23,1,2,2
house,180.9,6,suburban,basic,3,14,1,1,0
commercial,455.8,10,urban,standard,1,29,0,2,2
landscaping,285.0,4,urban,premium,5,25,2,2,1
house,58.5,5,urban,standard,2,6,1,2,2
house,135.8,3,suburban,basic,1,15,1,1,0
renovation,66.9,4,rural,premium,5,13,3,0,1
commercial,329.5,5,urban,basic,3,47,0,2,0
renovation,49.2,1,urban,standard,2,6,3,2,2
renovation,137.2,3,suburban,basic,5,13,3,1,0
house,203.3,8,urban,premium,1,16,1,2,1
landscaping,113.7,10,rural,basic,4,5,2,0,0
landscaping,304.4,7,rural,premium,4,18,2,0,1
renovation,46.5,9,suburban,standard,4,3,3,1,2
landscaping,105.4,8,suburban,premium,1,4,2,1,1
commercial,607.8,10,rural,premium,2,104,0,0,1
house,178.9,3,rural,basic,5,45,1,0,0
landscaping,353.7,6,suburban,standard,5,12,2,1,2
landscaping,158.7,3,urban,standard,3,8,2,2,2
commercial,189.2,7,suburban,premium,3,44,0,1,1
commercial,611.4,5,urban,premium,5,111,0,2,1
commercial,478.4,6,urban,basic,5,92,0,2,0
renovation,20.2,4,urban,basic,3,1,3,2,0
house,179.1,7,suburban,basic,2,16,1,1,0
house,176.0,4,urban,premium,1,20,1,2,1
renovation,103.3,6,urban,standard,3,6,3,2,2
house,222.9,6,urban,basic,1,16,1,2,0
landscaping,143.2,4,urban,standard,1,5,2,2,2
commercial,130.2,8,suburban,premium,3,22,0,1,1
commercial,671.5,7,rural,standard,4,99,0,0,2
house,172.4,9,suburban,premium,4,25,1,1,1
commercial,355.7,4,suburban,premium,3,95,0,1,1
house,188.4,10,rural,basic,5,24,1,0,0
landscaping,143.7,6,suburban,premium,3,9,2,1,1
house,186.7,10,rural,premium,4,34,1,0,1
commercial,546.6,10,rural,basic,3,59,0,0,0
renovation,71.7,5,rural,premium,1,5,3,0,1
landscaping,168.2,4,suburban,basic,3,9,2,1,0
house,66.6,1,urban,basic,1,11,1,2,0
landscaping,221.8,3,suburban,premium,5,28,2,1,1
house,172.4,8,rural,basic,5,23,1,0,0
commercial,540.4,5,urban,premium,5,175,0,2,1
commercial,584.0,7,rural,premium,1,91,0,0,1
landscaping,220.9,10,suburban,basic,1,5,2,1,0
renovation,84.3,4,urban,premium,5,10,3,2,1
commercial,517.9,5,urban,premium,5,137,0,2,1
renovation,42.5,9,rural,basic,3,2,3,0,0
landscaping,255.1,6,rural,premium,5,25,2,0,1
commercial,452.4,5,rural,standard,3,99,0,0,2
renovation,46.5,9,rural,premium,5,6,3,0,1
renovation,75.1,7,rural,premium,5,10,3,0,1
house,129.3,9,suburban,premium,3,16,1,1,1
landscaping,227.7,5,urban,premium,3,14,2,2,1
house,93.2,4,rural,basic,5,20,1,0,0
landscaping,339.6,8,suburban,basic,3,14,2,1,0
landscaping,240.5,7,rural,standard,4,16,2,0,2
house,162.7,5,rural,basic,2,17,1,0,0
landscaping,312.5,9,rural,standard,5,20,2,0,2
landscaping,264.9,7,rural,basic,5,17,2,0,0
renovation,28.7,9,urban,basic,4,1,3,2,0
commercial,309.1,5,suburban,standard,1,39,0,1,2
landscaping,233.0,1,suburban,standard,1,19,2,1,2
commercial,634.0,3,rural,premium,3,237,0,0,1
landscaping,265.6,5,rural,standard,1,11,2,0,2
house,232.6,10,urban,standard,4,22,1,2,2
house,148.8,10,suburban,premium,4,18,1,1,1
house,137.5,8,rural,premium,4,24,1,0,1
renovation,116.1,4,rural,basic,4,11,3,0,0
renovation,67.3,3,urban,basic,2,4,3,2,0
renovation,92.0,3,urban,basic,3,7,3,2,0
landscaping,380.0,10,rural,premium,3,18,2,0,1
landscaping,368.5,1,urban,basic,2,37,2,2,0
landscaping,65.2,5,urban,premium,3,5,2,2,1
landscaping,235.3,2,rural,standard,1,12,2,0,2
house,51.8,5,rural,standard,4,7,1,0,2
commercial,481.5,3,suburban,standard,4,123,0,1,2
renovation,35.1,7,suburban,premium,2,2,3,1,1
commercial,403.0,1,urban,premium,2,161,0,2,1
landscaping,193.5,2,rural,standard,1,13,2,0,2
landscaping,395.3,3,suburban,basic,4,29,2,1,0
landscaping,110.4,6,rural,basic,4,6,2,0,0
house,170.0,8,urban,premium,5,30,1,2,1
renovation,95.6,3,suburban,standard,1,6,3,1,2
landscaping,292.5,1,urban,basic,4,36,2,2,0
landscaping,111.0,10,rural,basic,4,5,2,0,0
commercial,327.7,4,urban,premium,1,56,0,2,1
commercial,838.4,7,suburban,standard,2,125,0,1,2
house,87.8,6,rural,basic,1,8,1,0,0
renovation,67.7,8,rural,standard,1,3,3,0,2
renovation,84.4,9,rural,premium,4,8,3,0,1
renovation,88.0,5,rural,standard,3,5,3,0,2
renovation,50.1,5,suburban,premium,1,4,3,1,1
renovation,112.1,3,suburban,premium,5,14,3,1,1
renovation,87.7,5,rural,premium,1,6,3,0,1
landscaping,160.3,8,suburban,standard,2,7,2,1,2
landscaping,194.6,3,rural,standard,4,15,2,0,2
landscaping,177.0,5,suburban,premium,1,9,2,1,1
landscaping,138.0,1,suburban,basic,1,10,2,1,0
landscaping,280.6,3,urban,premium,5,20,2,2,1
landscaping,170.6,6,suburban,standard,1,6,2,1,2
house,87.9,5,rural,premium,5,27,1,0,1
house,128.5,9,urban,basic,2,9,1,2,0
landscaping,215.6,9,suburban,basic,5,10,2,1,0
renovation,65.6,9,urban,basic,4,3,3,2,0
renovation,135.3,9,suburban,premium,3,7,3,1,1
renovation,58.5,3,suburban,standard,4,7,3,1,2
house,219.0,2,urban,premium,5,77,1,2,1
commercial,274.8,1,rural,standard,5,128,0,0,2
renovation,82.9,10,urban,basic,4,4,3,2,0
house,136.0,9,rural,standard,1,11,1,0,2
landscaping,257.2,4,suburban,basic,4,15,2,1,0
renovation,91.5,9,rural,premium,2,7,3,0,1
renovation,93.1,10,suburban,premium,1,4,3,1,1
house,123.7,9,urban,basic,3,10,1,2,0
house,165.5,7,urban,basic,1,8,1,2,0
commercial,227.2,2,suburban,premium,2,61,0,1,1
renovation,68.3,9,urban,basic,3,2,3,2,0
renovation,103.0,6,suburban,premium,5,10,3,1,1
commercial,174.1,7,urban,standard,2,21,0,2,2
commercial,213.7,10,suburban,basic,4,28,0,1,0
commercial,445.9,9,rural,premium,1,60,0,0,1
house,82.3,6,urban,basic,3,8,1,2,0
commercial,193.1,4,urban,basic,1,25,0,2,0
house,81.4,9,suburban,basic,1,6,1,1,0
landscaping,75.2,3,suburban,premium,4,9,2,1,1
landscaping,79.1,3,suburban,basic,5,7,2,1,0
landscaping,98.8,1,rural,premium,5,23,2,0,1
landscaping,266.5,6,suburban,basic,1,8,2,1,0
landscaping,194.8,7,urban,basic,1,7,2,2,0
renovation,73.4,6,suburban,basic,1,3,3,1,0
renovation,42.3,3,suburban,premium,4,6,3,1,1
commercial,504.4,8,rural,standard,5,124,0,0,2
commercial,573.7,4,suburban,standard,2,70,0,1,2
house,173.7,10,suburban,standard,1,12,1,1,2
landscaping,161.8,10,suburban,basic,5,7,2,1,0
renovation,73.8,2,suburban,standard,1,6,3,1,2
house,99.3,3,suburban,standard,5,25,1,1,2
landscaping,155.8,9,rural,premium,2,9,2,0,1
house,179.5,8,rural,basic,2,10,1,0,0
landscaping,129.9,7,rural,premium,5,13,2,0,1
renovation,129.7,9,rural,basic,5,9,3,0,0
renovation,44.3,2,urban,premium,5,10,3,2,1
renovation,76.1,9,suburban,premium,3,4,3,1,1
landscaping,294.9,3,rural,standard,2,14,2,0,2
commercial,442.0,7,suburban,standard,2,31,0,1,2
house,50.9,8,rural,premium,4,9,1,0,1
commercial,917.5,1,rural,premium,5,670,0,0,1
commercial,577.6,1,suburban,premium,1,200,0,1,1
landscaping,109.1,1,urban,premium,3,16,2,2,1
renovation,63.0,8,rural,standard,4,6,3,0,2
renovation,80.4,8,suburban,standard,3,5,3,1,2
landscaping,70.1,2,rural,standard,1,3,2,0,2
renovation,94.6,10,suburban,standard,5,7,3,1,2
house,102.2,3,urban,basic,1,10,1,2,0
landscaping,222.1,8,rural,basic,1,5,2,0,0
house,127.0,1,urban,premium,5,55,1,2,1
landscaping,255.9,8,rural,basic,5,13,2,0,0
landscaping,163.4,10,rural,basic,1,4,2,0,0
landscaping,277.4,5,suburban,basic,1,10,2,1,0
house,144.2,4,urban,basic,2,17,1,2,0
landscaping,242.3,4,urban,standard,3,12,2,2,2
renovation,77.5,8,urban,standard,3,4,3,2,2
house,249.2,3,urban,standard,3,37,1,2,2
landscaping,312.0,3,suburban,basic,3,19,2,1,0
landscaping,269.9,8,rural,standard,5,17,2,0,2
landscaping,269.8,8,suburban,standard,4,17,2,1,2
renovation,186.7,9,rural,premium,1,10,3,0,1
renovation,56.8,3,rural,premium,2,7,3,0,1
landscaping,80.4,5,rural,standard,4,7,2,0,2
landscaping,203.9,5,suburban,basic,2,9,2,1,0
commercial,551.2,8,urban,standard,4,57,0,2,2
landscaping,176.7,3,rural,premium,2,16,2,0,1
landscaping,266.3,3,suburban,premium,2,17,2,1,1
commercial,290.0,10,urban,premium,2,29,0,2,1
renovation,46.5,5,urban,premium,1,3,3,2,1
landscaping,304.7,9,urban,premium,2,12,2,2,1
house,115.2,4,urban,standard,2,17,1,2,2
house,273.5,6,urban,standard,1,16,1,2,2
house,136.4,5,urban,standard,3,15,1,2,2
commercial,417.5,6,urban,standard,1,36,0,2,2
commercial,764.9,9,rural,basic,2,75,0,0,0
landscaping,159.8,4,urban,premium,2,11,2,2,1
commercial,495.8,6,suburban,standard,1,55,0,1,2
landscaping,150.6,8,suburban,premium,1,5,2,1,1
commercial,430.5,5,rural,basic,2,57,0,0,0
renovation,94.1,9,suburban,premium,1,5,3,1,1
landscaping,248.5,1,rural,standard,1,18,2,0,2
house,134.4,7,suburban,premium,1,11,1,1,1
renovation,158.4,6,urban,standard,2,8,3,2,2
house,156.0,5,suburban,premium,4,25,1,1,1
landscaping,311.1,10,rural,standard,4,16,2,0,2
landscaping,191.2,3,rural,standard,3,15,2,0,2
renovation,23.7,10,urban,premium,4,2,3,2,1
commercial,957.8,5,rural,basic,5,170,0,0,0
commercial,345.8,9,rural,basic,3,57,0,0,0
renovation,95.4,1,urban,premium,2,11,3,2,1
house,160.1,5,suburban,standard,4,18,1,1,2
house,181.6,3,suburban,basic,2,22,1,1,0
landscaping,241.6,1,suburban,standard,5,29,2,1,2
renovation,59.6,5,urban,basic,2,3,3,2,0
landscaping,114.9,1,rural,premium,5,31,2,0,1
renovation,75.6,6,urban,standard,2,3,3,2,2
commercial,751.9,2,suburban,premium,5,451,0,1,1
renovation,70.3,10,urban,standard,1,2,3,2,2
commercial,252.7,10,urban,premium,2,36,0,2,1
house,37.7,6,urban,standard,5,5,1,2,2
landscaping,171.2,10,suburban,basic,3,6,2,1,0
landscaping,201.8,8,suburban,basic,5,6,2,1,0
house,243.3,6,suburban,premium,2,38,1,1,1
commercial,517.4,2,rural,standard,4,150,0,0,2
house,106.5,2,urban,standard,1,13,1,2,2
renovation,67.0,1,rural,basic,1,7,3,0,0
house,82.8,6,rural,standard,4,15,1,0,2
renovation,85.3,5,urban,premium,2,6,3,2,1
landscaping,281.3,1,urban,standard,3,27,2,2,2
commercial,250.0,7,urban,standard,4,40,0,2,2
landscaping,190.7,7,suburban,standard,2,6,2,1,2
renovation,49.9,2,rural,premium,2,8,3,0,1
house,150.6,5,urban,basic,2,11,1,2,0
house,164.2,5,suburban,premium,3,32,1,1,1
landscaping,294.6,1,suburban,basic,3,29,2,1,0
commercial,471.9,6,suburban,basic,2,51,0,1,0
renovation,60.2,5,rural,basic,3,4,3,0,0
house,137.0,8,rural,basic,3,12,1,0,0
renovation,47.4,2,suburban,basic,1,3,3,1,0
renovation,78.7,10,urban,premium,3,3,3,2,1
house,116.9,7,urban,premium,5,21,1,2,1
house,148.6,10,urban,premium,2,16,1,2,1
landscaping,229.7,1,urban,basic,2,17,2,2,0
house,108.8,8,urban,standard,4,11,1,2,2
house,192.0,5,suburban,premium,3,32,1,1,1
landscaping,279.5,4,rural,premium,5,34,2,0,1
landscaping,109.8,7,rural,basic,2,5,2,0,0
commercial,536.9,8,urban,premium,2,79,0,2,1
