project_type,surface_area,materials,location,complexity,estimated_cost,project_type_encoded,materials_encoded,location_encoded
commercial,456.7,premium,rural,2,945625,0,1,0
house,162.4,premium,rural,5,333892,1,1,0
landscaping,222.6,basic,urban,4,55245,2,0,2
house,269.9,premium,urban,5,1344886,1,1,2
landscaping,468.6,premium,suburban,5,171052,2,1,1
house,217.3,basic,suburban,2,218790,1,0,1
house,198.6,premium,rural,3,369613,1,1,0
house,97.4,premium,suburban,3,217093,1,1,1
house,95.5,premium,suburban,4,276964,1,1,1
renovation,83.8,premium,urban,4,196948,3,1,2
landscaping,211.5,basic,rural,2,24753,2,0,0
commercial,574.0,basic,urban,1,947832,0,0,2
landscaping,255.2,standard,urban,2,53716,2,2,2
house,130.5,premium,urban,1,232349,1,1,2
landscaping,193.0,premium,rural,2,45593,2,1,0
landscaping,381.9,standard,urban,4,121029,2,2,2
renovation,59.4,basic,urban,1,45260,3,0,2
landscaping,260.6,basic,suburban,5,58078,2,0,1
house,120.2,standard,urban,4,290993,1,2,2
house,112.5,premium,suburban,2,221839,1,1,1
renovation,44.7,standard,rural,5,60857,3,2,0
commercial,580.9,premium,rural,4,1418928,0,1,0
commercial,466.4,standard,suburban,2,677111,0,2,1
landscaping,429.9,standard,rural,3,67055,2,2,0
house,198.2,premium,suburban,3,483117,1,1,1
landscaping,278.4,standard,urban,2,71254,2,2,2
commercial,281.6,premium,suburban,4,922081,0,1,1
renovation,58.0,standard,urban,5,101307,3,2,2
landscaping,444.2,standard,suburban,3,88501,2,2,1
commercial,703.6,premium,suburban,2,1308729,0,1,1
renovation,61.1,basic,rural,5,58794,3,0,0
commercial,491.8,basic,rural,4,768160,0,0,0
landscaping,409.6,basic,suburban,2,61492,2,0,1
house,169.3,standard,rural,1,176164,1,2,0
commercial,513.9,standard,suburban,1,917452,0,2,1
house,237.4,standard,suburban,3,383295,1,2,1
house,69.2,standard,urban,2,126506,1,2,2
commercial,285.0,premium,suburban,2,727163,0,1,1
house,224.1,basic,urban,3,380455,1,0,2
house,133.8,premium,suburban,3,312210,1,1,1
renovation,63.4,premium,urban,1,107964,3,1,2
landscaping,382.3,basic,rural,5,59699,2,0,0
house,106.2,premium,rural,1,140008,1,1,0
renovation,38.6,basic,urban,4,48988,3,0,2
commercial,365.1,premium,suburban,4,1135579,0,1,1
commercial,483.5,standard,urban,2,1158790,0,2,2
landscaping,395.1,premium,suburban,2,104819,2,1,1
house,175.5,premium,suburban,1,332375,1,1,1
house,100.4,premium,suburban,5,259620,1,1,1
house,146.1,basic,urban,4,293934,1,0,2
landscaping,239.2,basic,urban,5,71137,2,0,2
house,163.7,basic,rural,2,131434,1,0,0
landscaping,232.1,premium,urban,3,75113,2,1,2
landscaping,372.3,premium,rural,5,113837,2,1,0
house,192.8,standard,urban,4,508915,1,2,2
renovation,58.3,basic,suburban,1,39785,3,0,1
house,206.6,premium,urban,3,638926,1,1,2
landscaping,302.2,basic,urban,5,89582,2,0,2
renovation,103.1,standard,rural,3,86568,3,2,0
landscaping,366.8,basic,rural,1,32274,2,0,0
landscaping,211.7,standard,suburban,2,34141,2,2,1
commercial,522.9,basic,suburban,4,1022134,0,0,1
house,162.5,standard,rural,3,200709,1,2,0
landscaping,366.1,standard,rural,1,38377,2,2,0
renovation,40.8,standard,urban,5,62361,3,2,2
landscaping,349.7,premium,rural,5,96851,2,1,0
renovation,20.0,premium,urban,2,33522,3,1,2
renovation,79.3,basic,suburban,5,102304,3,0,1
renovation,88.4,premium,suburban,2,122236,3,1,1
house,169.9,basic,urban,3,303270,1,0,2
landscaping,226.7,basic,suburban,2,31631,2,0,1
landscaping,211.5,basic,rural,5,34653,2,0,0
renovation,78.4,premium,urban,2,135189,3,1,2
landscaping,350.7,standard,rural,4,66948,2,2,0
landscaping,120.8,basic,urban,1,18812,2,0,2
renovation,78.3,basic,urban,1,62948,3,0,2
commercial,631.9,basic,urban,5,1631699,0,0,2
renovation,51.0,basic,suburban,2,41336,3,0,1
commercial,304.4,premium,rural,4,743027,0,1,0
landscaping,457.3,standard,urban,3,131823,2,2,2
landscaping,392.4,standard,suburban,4,84271,2,2,1
commercial,214.7,standard,suburban,4,522120,0,2,1
commercial,522.4,premium,rural,4,1418658,0,1,0
renovation,65.9,premium,rural,5,98286,3,1,0
house,109.7,premium,urban,2,289628,1,1,2
landscaping,318.7,premium,suburban,2,85040,2,1,1
commercial,387.6,premium,suburban,2,1023657,0,1,1
renovation,95.9,standard,suburban,4,124619,3,2,1
landscaping,304.3,premium,urban,3,137072,2,1,2
commercial,483.5,basic,urban,4,1460130,0,0,2
landscaping,163.5,standard,rural,1,18224,2,2,0
house,157.3,premium,rural,1,200432,1,1,0
commercial,536.9,premium,suburban,2,1486222,0,1,1
renovation,66.0,premium,rural,4,133004,3,1,0
renovation,73.3,standard,urban,5,132143,3,2,2
landscaping,204.5,standard,suburban,2,38160,2,2,1
landscaping,320.1,basic,rural,5,52975,2,0,0
renovation,106.0,premium,suburban,2,131494,3,1,1
landscaping,403.6,premium,suburban,2,94977,2,1,1
renovation,29.3,basic,urban,5,39025,3,0,2
house,130.4,basic,suburban,2,134938,1,0,1
house,91.4,basic,suburban,4,115975,1,0,1
commercial,396.3,standard,urban,4,1400495,0,2,2
house,166.3,premium,rural,3,310327,1,1,0
landscaping,460.5,premium,rural,2,83009,2,1,0
renovation,20.0,premium,suburban,1,22420,3,1,1
landscaping,395.6,basic,suburban,3,67381,2,0,1
landscaping,256.9,standard,rural,4,48806,2,2,0
house,246.9,premium,rural,5,438470,1,1,0
house,130.7,standard,rural,4,218492,1,2,0
house,209.9,premium,suburban,5,713709,1,1,1
house,219.9,standard,suburban,4,489687,1,2,1
commercial,354.0,basic,rural,4,544619,0,0,0
house,154.2,standard,urban,2,261392,1,2,2
renovation,95.7,basic,rural,5,87060,3,0,0
renovation,110.3,standard,urban,2,120994,3,2,2
renovation,48.1,standard,rural,5,57714,3,2,0
commercial,397.9,standard,rural,4,851041,0,2,0
renovation,47.4,basic,urban,5,66980,3,0,2
house,162.5,standard,urban,3,334966,1,2,2
house,143.3,basic,urban,2,198167,1,0,2
house,106.1,basic,urban,1,100599,1,0,2
house,165.6,basic,urban,5,438398,1,0,2
renovation,73.1,standard,rural,4,67380,3,2,0
house,217.2,standard,rural,3,329693,1,2,0
commercial,836.5,premium,suburban,2,1953973,0,1,1
house,122.2,premium,rural,2,197560,1,1,0
renovation,100.0,standard,urban,4,165360,3,2,2
house,26.4,basic,suburban,4,33783,1,0,1
landscaping,301.4,premium,rural,4,70791,2,1,0
renovation,92.9,basic,urban,3,94770,3,0,2
house,186.6,basic,rural,2,181182,1,0,0
commercial,606.7,standard,urban,3,1504630,0,2,2
commercial,512.5,premium,rural,5,1820569,0,1,0
commercial,331.6,basic,rural,1,322564,0,0,0
landscaping,298.5,premium,urban,4,106907,2,1,2
renovation,122.3,basic,urban,2,124912,3,0,2
landscaping,256.6,basic,rural,5,44432,2,0,0
house,119.3,basic,suburban,1,107528,1,0,1
commercial,119.6,basic,rural,1,100454,0,0,0
commercial,561.3,standard,rural,3,943266,0,2,0
landscaping,256.3,premium,suburban,5,81124,2,1,1
renovation,127.6,basic,suburban,3,121822,3,0,1
renovation,90.0,basic,urban,5,154763,3,0,2
commercial,516.9,basic,suburban,3,775529,0,0,1
landscaping,395.6,premium,suburban,3,143355,2,1,1
renovation,102.9,basic,rural,2,53384,3,0,0
commercial,499.8,standard,urban,1,923819,0,2,2
house,144.2,premium,rural,4,299454,1,1,0
landscaping,298.0,standard,urban,2,74345,2,2,2
house,105.5,premium,rural,3,212694,1,1,0
renovation,141.6,standard,rural,4,154324,3,2,0
house,192.2,basic,suburban,3,282218,1,0,1
renovation,92.0,basic,rural,2,56046,3,0,0
landscaping,248.8,premium,rural,5,69441,2,1,0
renovation,62.4,premium,suburban,5,108354,3,1,1
house,154.0,premium,urban,5,534858,1,1,2
renovation,82.7,premium,urban,4,187582,3,1,2
landscaping,343.6,basic,urban,1,58125,2,0,2
landscaping,434.8,standard,rural,1,55896,2,2,0
commercial,399.4,standard,rural,5,1057899,0,2,0
landscaping,325.2,premium,urban,4,148426,2,1,2
commercial,690.4,premium,suburban,1,1395777,0,1,1
renovation,103.9,premium,suburban,5,184890,3,1,1
commercial,255.6,premium,suburban,1,559211,0,1,1
house,148.0,basic,urban,1,152332,1,0,2
house,91.6,premium,urban,4,320441,1,1,2
commercial,1010.2,basic,urban,4,2685503,0,0,2
commercial,323.7,standard,urban,5,1295787,0,2,2
landscaping,223.4,basic,suburban,1,23783,2,0,1
renovation,67.6,premium,suburban,4,109021,3,1,1
house,84.9,basic,suburban,4,106268,1,0,1
house,160.9,standard,urban,4,383760,1,2,2
house,182.3,premium,urban,4,653153,1,1,2
renovation,55.9,standard,suburban,1,33767,3,2,1
house,138.6,standard,urban,3,346253,1,2,2
commercial,20.0,premium,rural,4,51725,0,1,0
landscaping,400.0,basic,rural,1,47761,2,0,0
commercial,294.8,premium,urban,3,1133850,0,1,2
landscaping,240.4,standard,rural,1,29263,2,2,0
renovation,108.9,standard,suburban,2,122732,3,2,1
landscaping,259.4,premium,suburban,2,48721,2,1,1
house,180.0,standard,suburban,2,284046,1,2,1
renovation,48.3,premium,rural,1,42181,3,1,0
house,80.1,standard,urban,5,252000,1,2,2
house,187.5,standard,suburban,3,335693,1,2,1
landscaping,387.7,premium,rural,2,76629,2,1,0
renovation,68.0,premium,urban,2,128450,3,1,2
landscaping,218.2,standard,rural,2,27862,2,2,0
house,68.6,premium,urban,2,216307,1,1,2
house,127.1,basic,rural,4,152880,1,0,0
renovation,69.1,standard,urban,4,105018,3,2,2
house,247.0,premium,rural,5,674417,1,1,0
landscaping,335.2,standard,suburban,3,74074,2,2,1
commercial,20.0,basic,urban,2,40127,0,0,2
landscaping,360.5,basic,rural,2,39075,2,0,0
renovation,88.3,premium,suburban,2,134798,3,1,1
commercial,379.0,basic,urban,4,1032023,0,0,2
commercial,764.5,basic,suburban,1,901942,0,0,1
landscaping,369.6,basic,rural,4,58358,2,0,0
house,128.5,basic,suburban,1,119292,1,0,1
renovation,74.1,premium,suburban,1,69575,3,1,1
commercial,445.5,basic,rural,1,480463,0,0,0
landscaping,234.3,standard,suburban,1,34235,2,2,1
renovation,34.7,standard,rural,1,21717,3,2,0
renovation,112.5,basic,urban,5,172063,3,0,2
renovation,64.5,basic,suburban,3,59021,3,0,1
house,152.4,basic,urban,4,273443,1,0,2
house,113.8,premium,urban,1,247085,1,1,2
commercial,682.4,standard,urban,5,2234903,0,2,2
renovation,69.6,standard,urban,5,140303,3,2,2
landscaping,425.0,standard,suburban,2,79713,2,2,1
house,136.3,basic,rural,1,81612,1,0,0
commercial,538.8,basic,suburban,5,1290971,0,0,1
renovation,89.6,standard,urban,1,86946,3,2,2
landscaping,237.2,premium,rural,1,38676,2,1,0
renovation,72.9,basic,suburban,3,63193,3,0,1
house,162.6,premium,rural,2,295324,1,1,0
house,157.8,standard,suburban,1,181462,1,2,1
renovation,92.9,basic,urban,4,132886,3,0,2
renovation,102.6,standard,rural,2,85259,3,2,0
renovation,48.0,standard,suburban,1,38592,3,2,1
house,71.3,standard,urban,2,120093,1,2,2
renovation,54.1,basic,suburban,3,47288,3,0,1
house,229.6,premium,urban,2,641816,1,1,2
renovation,108.5,standard,urban,4,171893,3,2,2
house,204.6,basic,suburban,1,167420,1,0,1
landscaping,110.7,premium,rural,5,34526,2,1,0
house,176.7,standard,suburban,3,299591,1,2,1
house,73.4,basic,rural,3,88025,1,0,0
house,179.3,standard,suburban,4,321110,1,2,1
house,118.3,basic,urban,3,185055,1,0,2
renovation,50.6,standard,rural,2,37326,3,2,0
commercial,465.9,basic,urban,2,662231,0,0,2
landscaping,222.9,standard,suburban,5,49502,2,2,1
commercial,637.6,premium,rural,3,1407680,0,1,0
house,167.1,standard,suburban,3,279028,1,2,1
landscaping,214.9,premium,urban,4,88806,2,1,2
commercial,559.8,standard,rural,3,964423,0,2,0
house,91.7,premium,urban,1,231191,1,1,2
house,158.1,standard,suburban,2,276918,1,2,1
commercial,104.2,premium,urban,5,498072,0,1,2
renovation,108.7,standard,suburban,1,81904,3,2,1
renovation,125.5,basic,rural,5,120041,3,0,0
renovation,20.0,premium,rural,3,21850,3,1,0
house,209.2,standard,rural,3,310311,1,2,0
house,176.4,premium,suburban,2,351543,1,1,1
commercial,417.8,standard,rural,4,884118,0,2,0
renovation,109.4,standard,suburban,4,145646,3,2,1
commercial,196.6,basic,rural,1,165120,0,0,0
commercial,647.1,standard,suburban,1,976611,0,2,1
renovation,64.8,basic,rural,5,66776,3,0,0
landscaping,432.9,basic,rural,4,59596,2,0,0
renovation,134.6,premium,urban,1,188228,3,1,2
commercial,179.2,basic,rural,3,209004,0,0,0
house,112.7,basic,rural,3,113162,1,0,0
house,107.2,standard,urban,3,219769,1,2,2
house,139.0,basic,urban,4,259695,1,0,2
house,190.3,standard,urban,5,511511,1,2,2
landscaping,317.7,premium,urban,4,134298,2,1,2
house,182.4,premium,urban,1,333452,1,1,2
house,131.7,premium,suburban,5,331800,1,1,1
commercial,828.1,basic,urban,2,1367009,0,0,2
renovation,110.9,premium,urban,1,172471,3,1,2
house,153.8,basic,rural,3,182685,1,0,0
commercial,290.9,premium,urban,1,792055,0,1,2
renovation,80.9,standard,suburban,4,110759,3,2,1
landscaping,327.3,standard,urban,3,80436,2,2,2
landscaping,265.6,standard,suburban,1,38347,2,2,1
landscaping,300.7,premium,suburban,1,58077,2,1,1
landscaping,464.4,premium,urban,4,210763,2,1,2
commercial,737.2,basic,suburban,2,1225132,0,0,1
house,161.2,premium,urban,1,369775,1,1,2
commercial,682.2,standard,rural,1,778964,0,2,0
renovation,83.4,basic,suburban,4,89323,3,0,1
commercial,457.2,premium,rural,5,1516809,0,1,0
commercial,325.5,premium,suburban,5,1289510,0,1,1
landscaping,327.0,premium,urban,4,137369,2,1,2
renovation,83.3,premium,suburban,1,91658,3,1,1
house,145.8,standard,suburban,2,213538,1,2,1
landscaping,295.0,standard,suburban,2,46459,2,2,1
commercial,797.7,basic,urban,5,2488873,0,0,2
renovation,90.5,premium,rural,4,123700,3,1,0
renovation,105.3,basic,rural,5,99661,3,0,0
house,134.0,basic,rural,3,151927,1,0,0
commercial,315.2,standard,rural,4,665936,0,2,0
renovation,80.0,standard,suburban,3,99623,3,2,1
house,143.5,premium,urban,4,557842,1,1,2
renovation,64.6,basic,urban,5,107003,3,0,2
commercial,381.6,standard,rural,4,883406,0,2,0
renovation,75.3,basic,urban,1,50246,3,0,2
commercial,441.6,premium,rural,2,866486,0,1,0
landscaping,428.4,premium,rural,5,83704,2,1,0
landscaping,191.6,premium,rural,3,45612,2,1,0
commercial,657.1,standard,suburban,2,1343066,0,2,1
renovation,63.1,standard,urban,4,89275,3,2,2
renovation,63.9,premium,suburban,1,66182,3,1,1
landscaping,302.7,premium,rural,5,89080,2,1,0
commercial,479.0,basic,suburban,1,610031,0,0,1
house,49.0,premium,suburban,4,139025,1,1,1
house,168.7,premium,suburban,2,369043,1,1,1
landscaping,461.6,standard,rural,5,107941,2,2,0
renovation,162.9,standard,rural,1,88046,3,2,0
landscaping,278.2,basic,urban,3,63101,2,0,2
renovation,60.2,premium,suburban,1,74721,3,1,1
renovation,115.0,standard,urban,5,197530,3,2,2
commercial,102.4,premium,suburban,2,208943,0,1,1
house,160.5,standard,suburban,5,327172,1,2,1
landscaping,307.5,basic,urban,1,52930,2,0,2
renovation,20.8,basic,urban,1,18475,3,0,2
house,147.7,basic,urban,5,290953,1,0,2
renovation,74.1,standard,urban,4,110490,3,2,2
house,124.1,basic,urban,4,268873,1,0,2
house,151.5,standard,urban,3,347905,1,2,2
commercial,515.6,standard,urban,2,1248262,0,2,2
house,177.7,basic,suburban,4,235397,1,0,1
house,179.5,premium,suburban,5,584146,1,1,1
renovation,85.0,premium,rural,1,69460,3,1,0
commercial,63.1,basic,rural,2,74681,0,0,0
landscaping,302.9,premium,rural,1,45000,2,1,0
house,164.6,premium,suburban,5,451903,1,1,1
commercial,443.0,premium,rural,4,1178225,0,1,0
landscaping,322.4,basic,suburban,1,36633,2,0,1
house,100.2,standard,suburban,4,207265,1,2,1
house,181.1,premium,urban,5,653633,1,1,2
house,101.4,basic,urban,3,177756,1,0,2
renovation,28.7,standard,rural,1,17155,3,2,0
commercial,811.6,premium,suburban,1,1413722,0,1,1
commercial,866.8,basic,suburban,3,1543436,0,0,1
commercial,872.3,basic,suburban,5,1705779,0,0,1
landscaping,123.6,standard,suburban,3,26702,2,2,1
landscaping,331.4,premium,urban,1,96487,2,1,2
house,183.6,standard,urban,5,606941,1,2,2
commercial,208.7,premium,rural,5,748801,0,1,0
landscaping,408.6,basic,urban,3,79172,2,0,2
landscaping,279.6,premium,urban,5,135126,2,1,2
landscaping,317.8,standard,urban,1,54826,2,2,2
landscaping,424.3,premium,suburban,2,120066,2,1,1
house,214.2,premium,urban,1,454892,1,1,2
commercial,446.3,premium,urban,2,1681356,0,1,2
commercial,614.6,basic,suburban,1,771114,0,0,1
commercial,519.3,basic,urban,1,727794,0,0,2
renovation,109.4,premium,suburban,4,201519,3,1,1
commercial,569.2,basic,urban,3,1377182,0,0,2
renovation,82.8,basic,urban,3,97422,3,0,2
renovation,50.5,premium,urban,1,64307,3,1,2
landscaping,509.2,standard,urban,2,118721,2,2,2
house,50.5,premium,urban,2,123441,1,1,2
house,101.4,premium,rural,2,177292,1,1,0
house,171.5,basic,rural,4,227456,1,0,0
renovation,113.3,basic,rural,5,104578,3,0,0
landscaping,235.7,premium,suburban,1,52892,2,1,1
landscaping,315.9,premium,suburban,4,116658,2,1,1
landscaping,418.1,basic,urban,4,108566,2,0,2
renovation,60.0,basic,suburban,2,51023,3,0,1
house,184.2,standard,rural,2,230991,1,2,0
landscaping,136.3,basic,urban,5,36271,2,0,2
commercial,470.9,basic,rural,5,718866,0,0,0
commercial,252.7,standard,urban,2,566013,0,2,2
commercial,184.9,standard,suburban,4,432839,0,2,1
renovation,76.3,premium,rural,4,115984,3,1,0
landscaping,383.0,basic,rural,3,45521,2,0,0
house,77.7,standard,suburban,5,188848,1,2,1
landscaping,368.6,premium,urban,1,78952,2,1,2
renovation,79.4,standard,rural,3,76524,3,2,0
landscaping,309.4,basic,rural,1,26627,2,0,0
house,110.1,standard,urban,1,172528,1,2,2
commercial,522.2,basic,rural,3,711562,0,0,0
renovation,108.2,basic,suburban,2,72908,3,0,1
renovation,71.5,basic,rural,1,38926,3,0,0
commercial,277.2,premium,rural,3,610803,0,1,0
house,145.1,premium,urban,4,569421,1,1,2
house,147.1,basic,urban,5,345117,1,0,2
landscaping,313.8,basic,rural,2,43221,2,0,0
landscaping,207.4,basic,urban,3,44287,2,0,2
landscaping,400.8,basic,urban,5,113349,2,0,2
renovation,84.9,premium,rural,2,81605,3,1,0
house,68.3,basic,urban,5,146919,1,0,2
renovation,78.6,basic,rural,4,57695,3,0,0
renovation,85.0,standard,urban,3,135566,3,2,2
house,136.1,basic,urban,3,286523,1,0,2
renovation,118.9,premium,rural,1,112545,3,1,0
renovation,105.9,basic,suburban,2,70377,3,0,1
renovation,60.5,basic,rural,3,45670,3,0,0
renovation,81.5,standard,suburban,3,97850,3,2,1
commercial,145.3,premium,urban,3,554857,0,1,2
house,230.3,standard,urban,3,526591,1,2,2
commercial,478.2,premium,rural,5,1291907,0,1,0
renovation,39.9,basic,urban,4,60219,3,0,2
commercial,498.2,premium,rural,1,818383,0,1,0
house,65.1,basic,suburban,2,71352,1,0,1
landscaping,344.1,premium,urban,2,103675,2,1,2
house,143.7,basic,urban,1,168575,1,0,2
landscaping,468.6,standard,urban,3,119783,2,2,2
commercial,546.6,standard,rural,5,1095894,0,2,0
renovation,62.4,premium,rural,4,91467,3,1,0
house,132.8,standard,rural,1,103592,1,2,0
renovation,111.2,basic,urban,1,80833,3,0,2
landscaping,305.0,basic,urban,2,62780,2,0,2
house,155.2,standard,suburban,2,233757,1,2,1
landscaping,453.0,premium,urban,1,114055,2,1,2
commercial,336.8,basic,suburban,1,345321,0,0,1
house,243.4,premium,rural,1,328309,1,1,0
house,187.6,basic,suburban,5,297773,1,0,1
commercial,645.1,standard,rural,4,1225555,0,2,0
house,43.0,premium,rural,5,102613,1,1,0
house,76.4,basic,urban,1,88972,1,0,2
landscaping,201.5,standard,rural,1,25557,2,2,0
landscaping,372.5,premium,urban,4,169987,2,1,2
commercial,468.3,premium,suburban,5,1607643,0,1,1
commercial,385.9,standard,urban,2,921331,0,2,2
house,172.9,standard,rural,3,272841,1,2,0
renovation,101.3,premium,rural,1,73343,3,1,0
landscaping,333.7,standard,rural,1,38995,2,2,0
commercial,313.8,basic,suburban,1,434109,0,0,1
renovation,60.9,premium,suburban,5,127620,3,1,1
landscaping,196.0,premium,suburban,4,65761,2,1,1
house,199.1,standard,suburban,3,356824,1,2,1
commercial,117.4,basic,suburban,1,161619,0,0,1
commercial,389.5,premium,rural,1,582639,0,1,0
commercial,339.3,standard,rural,1,454773,0,2,0
renovation,78.8,premium,suburban,4,137016,3,1,1
house,130.7,standard,suburban,4,256871,1,2,1
commercial,399.2,premium,urban,3,1611413,0,1,2
renovation,47.4,premium,urban,1,66905,3,1,2
commercial,407.4,premium,rural,4,779207,0,1,0
commercial,160.0,basic,suburban,4,305135,0,0,1
commercial,355.0,standard,urban,5,1137124,0,2,2
commercial,276.7,basic,rural,4,381565,0,0,0
commercial,404.6,premium,suburban,1,988669,0,1,1
house,83.7,basic,urban,5,139262,1,0,2
landscaping,343.7,standard,urban,4,106612,2,2,2
commercial,631.8,premium,urban,3,2306929,0,1,2
house,163.2,premium,urban,5,611568,1,1,2
landscaping,201.7,premium,suburban,5,75169,2,1,1
house,247.9,basic,suburban,1,257955,1,0,1
house,88.6,basic,urban,3,175015,1,0,2
commercial,702.3,standard,rural,2,1080703,0,2,0
commercial,659.4,premium,suburban,4,2043878,0,1,1
house,194.4,premium,urban,3,690019,1,1,2
renovation,74.0,basic,rural,3,51185,3,0,0
commercial,452.1,standard,rural,1,578971,0,2,0
house,191.6,basic,suburban,5,310288,1,0,1
house,57.1,premium,rural,2,87374,1,1,0
house,221.5,premium,urban,5,850908,1,1,2
commercial,349.2,basic,suburban,2,457320,0,0,1
renovation,53.9,basic,suburban,4,51426,3,0,1
commercial,561.3,basic,suburban,2,763813,0,0,1
commercial,525.2,basic,urban,4,1412919,0,0,2
landscaping,293.2,basic,suburban,1,35280,2,0,1
renovation,96.1,basic,urban,2,72412,3,0,2
renovation,108.7,premium,suburban,2,144568,3,1,1
commercial,214.8,premium,suburban,2,515646,0,1,1
house,219.6,basic,urban,4,443374,1,0,2
renovation,90.5,premium,suburban,5,187387,3,1,1
renovation,104.3,premium,suburban,3,153703,3,1,1
landscaping,368.4,premium,urban,2,119897,2,1,2
commercial,559.9,premium,urban,3,2016645,0,1,2
house,142.8,premium,suburban,4,377555,1,1,1
commercial,279.3,basic,urban,5,745633,0,0,2
house,82.3,standard,rural,3,118753,1,2,0
house,124.4,basic,urban,2,196823,1,0,2
commercial,679.7,standard,urban,1,1474434,0,2,2
renovation,87.4,standard,suburban,2,98443,3,2,1
house,211.8,basic,rural,2,183159,1,0,0
landscaping,282.8,basic,rural,5,54242,2,0,0
renovation,97.7,standard,rural,2,73107,3,2,0
house,212.9,standard,rural,2,253471,1,2,0
landscaping,173.3,standard,urban,2,42334,2,2,2
landscaping,299.8,standard,suburban,3,72825,2,2,1
renovation,32.3,basic,suburban,1,19295,3,0,1
landscaping,116.6,premium,suburban,5,45240,2,1,1
house,85.5,premium,rural,5,225809,1,1,0
commercial,426.9,standard,urban,1,874361,0,2,2
landscaping,291.8,standard,suburban,5,81193,2,2,1
commercial,334.5,basic,urban,2,729465,0,0,2
house,85.8,standard,urban,1,153568,1,2,2
house,174.6,standard,suburban,1,204688,1,2,1
commercial,614.5,premium,suburban,4,1886966,0,1,1
renovation,73.5,premium,suburban,1,73969,3,1,1
house,125.5,premium,suburban,3,290685,1,1,1
renovation,95.5,premium,urban,2,158555,3,1,2
renovation,100.1,premium,rural,1,91986,3,1,0
landscaping,259.8,basic,rural,3,37435,2,0,0
commercial,211.5,basic,urban,5,600732,0,0,2
renovation,71.8,standard,rural,5,90757,3,2,0
renovation,34.8,standard,suburban,5,45085,3,2,1
house,138.9,premium,suburban,2,254422,1,1,1
renovation,75.4,basic,urban,2,72699,3,0,2
landscaping,328.8,premium,urban,4,150741,2,1,2
renovation,65.0,premium,suburban,1,67963,3,1,1
renovation,53.4,premium,urban,3,105267,3,1,2
renovation,20.0,premium,urban,5,54021,3,1,2
commercial,749.4,standard,urban,5,2858785,0,2,2
commercial,659.7,basic,urban,4,1675444,0,0,2
commercial,369.8,standard,suburban,2,615018,0,2,1
landscaping,426.9,basic,rural,3,60189,2,0,0
renovation,119.2,premium,rural,4,143848,3,1,0
renovation,46.5,standard,suburban,5,66898,3,2,1
house,90.9,standard,rural,1,90753,1,2,0
commercial,607.8,premium,rural,5,1941610,0,1,0
landscaping,369.5,basic,suburban,5,82206,2,0,1
renovation,117.6,standard,urban,2,147919,3,2,2
commercial,362.9,basic,suburban,5,848082,0,0,1
landscaping,248.3,basic,suburban,3,37452,2,0,1
commercial,464.0,premium,suburban,1,1037982,0,1,1
commercial,279.6,standard,rural,1,335072,0,2,0
renovation,99.3,basic,suburban,4,90736,3,0,1
house,184.3,premium,rural,5,508270,1,1,0
house,72.1,standard,suburban,3,112244,1,2,1
house,179.1,standard,urban,4,470162,1,2,2
house,176.0,premium,rural,4,375797,1,1,0
house,119.6,standard,urban,3,234832,1,2,2
house,135.6,basic,urban,4,277411,1,0,2
landscaping,459.4,standard,urban,1,90514,2,2,2
landscaping,229.1,basic,suburban,5,49066,2,0,1
landscaping,381.1,premium,suburban,2,118036,2,1,1
renovation,80.1,standard,suburban,3,73534,3,2,1
renovation,59.3,basic,urban,1,50057,3,0,2
renovation,55.7,premium,suburban,5,114417,3,1,1
renovation,107.5,premium,rural,3,144168,3,1,0
landscaping,384.4,standard,rural,5,77905,2,2,0
house,158.7,standard,suburban,5,348921,1,2,1
landscaping,229.7,standard,rural,4,43551,2,2,0
renovation,102.0,premium,urban,2,191896,3,1,2
landscaping,240.9,premium,rural,5,76053,2,1,0
landscaping,229.4,standard,suburban,5,59757,2,2,1
house,169.1,basic,urban,1,183369,1,0,2
landscaping,260.3,standard,urban,3,70764,2,2,2
landscaping,214.7,premium,rural,1,33647,2,1,0
landscaping,355.3,basic,suburban,1,38642,2,0,1
landscaping,327.3,standard,rural,3,59349,2,2,0
commercial,544.4,basic,urban,2,1058003,0,0,2
commercial,666.6,basic,urban,3,1364164,0,0,2
house,193.2,standard,urban,3,307724,1,2,2
renovation,108.3,premium,urban,1,176156,3,1,2
renovation,84.3,basic,rural,4,68484,3,0,0
house,151.5,premium,urban,2,361482,1,1,2
landscaping,371.5,basic,urban,3,80725,2,0,2
house,157.9,standard,urban,2,327142,1,2,2
renovation,103.2,basic,rural,5,96848,3,0,0
house,215.6,basic,rural,2,217301,1,0,0
commercial,738.2,basic,urban,3,1588592,0,0,2
landscaping,275.1,standard,rural,2,35002,2,2,0
renovation,100.5,basic,rural,1,56984,3,0,0
commercial,211.4,premium,urban,5,862121,0,1,2
house,122.2,standard,rural,5,193397,1,2,0
landscaping,474.5,standard,urban,3,140664,2,2,2
landscaping,350.6,premium,suburban,4,124026,2,1,1
house,162.7,premium,urban,5,594780,1,1,2
commercial,406.0,standard,suburban,4,993402,0,2,1
commercial,323.2,premium,urban,1,1041101,0,1,2
house,127.3,basic,rural,4,152977,1,0,0
house,86.5,basic,rural,2,77968,1,0,0
renovation,86.1,premium,suburban,2,110032,3,1,1
landscaping,290.8,basic,urban,3,62400,2,0,2
