project_type,project_type_encoded,size_sqm,num_workers,location,location_encoded,materials,materials_encoded,complexity,budget_tnd,requested_duration,realistic_duration,artisan_experience,season,season_encoded,weather_risk,delay_risk_score,delay_risk,is_delayed
commercial,2,398.4,1,suburban,1,basic,0,4.6,178183,110,153,11.2,winter,0,0.8,0.517,MEDIUM,1
renovation,1,74.3,3,suburban,1,standard,1,4.3,142833,44,12,1.9,autumn,3,0.3,0.48,MEDIUM,1
landscaping,3,381.6,5,rural,0,standard,1,4.4,199538,41,32,8.8,spring,1,0.1,0.121,LOW,0
commercial,2,481.7,3,urban,2,standard,1,2.4,157829,81,87,0.7,summer,2,0.1,0.126,LOW,0
landscaping,3,37.4,7,rural,0,standard,1,4.1,126630,102,5,5.0,winter,0,0.8,0.307,LOW,0
commercial,2,32.5,3,rural,0,standard,1,3.5,173564,16,7,6.2,winter,0,0.8,0.044,LOW,0
commercial,2,374.5,2,suburban,1,basic,0,3.8,80900,26,71,8.8,spring,1,0.1,0.534,MEDIUM,1
house,0,204.6,4,rural,0,standard,1,3.1,46269,57,28,6.9,autumn,3,0.3,0.079,LOW,1
landscaping,3,246.7,6,rural,0,basic,0,3.4,15403,17,12,12.6,summer,2,0.1,0.282,LOW,1
commercial,2,81.7,3,rural,0,basic,0,1.7,102570,47,6,9.8,autumn,3,0.3,0.125,LOW,0
landscaping,3,290.7,1,suburban,1,standard,1,3.5,121864,21,59,3.5,autumn,3,0.3,0.588,MEDIUM,1
house,0,242.9,6,rural,0,standard,1,1.7,8733,118,24,0.9,autumn,3,0.3,0.414,MEDIUM,1
renovation,1,243.8,4,rural,0,premium,2,4.8,109507,62,43,14.3,summer,2,0.1,0.286,LOW,0
house,0,421.9,2,rural,0,standard,1,4.7,118722,78,180,1.9,autumn,3,0.3,0.799,HIGH,1
landscaping,3,360.2,5,suburban,1,premium,2,2.7,21490,90,20,13.3,winter,0,0.8,0.457,MEDIUM,1
house,0,129.3,5,suburban,1,basic,0,4.9,138273,33,16,11.2,summer,2,0.1,0.117,LOW,1
commercial,2,498.7,4,suburban,1,standard,1,1.9,139786,101,40,14.6,winter,0,0.8,0.073,LOW,1
landscaping,3,59.3,4,rural,0,premium,2,2.4,89902,18,5,12.3,spring,1,0.1,0.131,LOW,1
commercial,2,70.0,3,urban,2,standard,1,4.2,86163,64,17,3.8,winter,0,0.8,0.324,LOW,0
landscaping,3,77.5,4,urban,2,standard,1,2.8,108327,43,5,11.5,summer,2,0.1,0.104,LOW,0
house,0,160.8,3,rural,0,basic,0,2.3,63380,100,23,0.8,autumn,3,0.3,0.295,LOW,0
commercial,2,196.2,5,suburban,1,premium,2,1.3,46049,92,12,13.5,summer,2,0.1,0.115,LOW,0
renovation,1,493.8,7,rural,0,premium,2,1.4,166716,17,20,8.7,autumn,3,0.3,0.391,MEDIUM,0
house,0,302.9,6,rural,0,basic,0,2.2,5612,66,19,7.6,spring,1,0.1,0.176,LOW,0
commercial,2,174.0,1,suburban,1,premium,2,3.9,59974,104,94,7.1,autumn,3,0.3,0.275,LOW,0
renovation,1,343.6,1,urban,2,premium,2,4.4,66206,69,149,2.3,spring,1,0.1,0.823,HIGH,1
commercial,2,389.6,4,urban,2,standard,1,1.1,106938,83,16,11.3,spring,1,0.1,0.009,LOW,0
landscaping,3,424.0,7,urban,2,premium,2,1.5,160945,22,12,5.3,summer,2,0.1,0.101,LOW,0
commercial,2,89.2,5,urban,2,premium,2,4.6,164482,12,19,8.7,autumn,3,0.3,0.646,HIGH,1
commercial,2,260.1,7,suburban,1,basic,0,2.6,194196,78,22,5.9,summer,2,0.1,0.092,LOW,0
commercial,2,298.3,4,urban,2,basic,0,1.7,171581,9,22,3.2,autumn,3,0.3,0.595,MEDIUM,0
commercial,2,465.7,7,urban,2,premium,2,3.3,32885,84,84,4.2,winter,0,0.8,0.668,HIGH,1
landscaping,3,450.2,4,suburban,1,premium,2,3.2,169799,75,47,3.0,spring,1,0.1,0.245,LOW,0
house,0,132.6,2,urban,2,standard,1,3.1,119842,10,30,0.5,spring,1,0.1,0.734,HIGH,1
landscaping,3,402.5,4,rural,0,premium,2,2.5,50251,42,28,7.1,spring,1,0.1,0.03,LOW,0
house,0,258.5,2,urban,2,premium,2,4.8,189210,78,99,3.5,winter,0,0.8,0.528,MEDIUM,1
renovation,1,250.0,1,rural,0,standard,1,4.1,141985,8,68,11.5,summer,2,0.1,0.663,HIGH,1
landscaping,3,360.9,5,rural,0,standard,1,4.1,82584,100,28,7.4,spring,1,0.1,0.195,LOW,0
landscaping,3,51.4,1,urban,2,premium,2,3.0,124950,79,7,7.3,autumn,3,0.3,0.285,LOW,0
house,0,324.4,6,urban,2,basic,0,3.2,90445,60,22,14.9,spring,1,0.1,0.119,LOW,0
commercial,2,131.3,7,urban,2,standard,1,2.9,155809,63,16,3.2,autumn,3,0.3,0.264,LOW,0
commercial,2,317.1,2,rural,0,standard,1,2.6,151400,49,60,9.9,summer,2,0.1,0.152,LOW,0
commercial,2,432.6,7,urban,2,premium,2,4.7,76348,108,139,0.8,summer,2,0.1,0.725,HIGH,1
landscaping,3,276.6,1,rural,0,basic,0,2.1,86624,94,38,0.9,summer,2,0.1,0.402,MEDIUM,1
commercial,2,468.6,4,rural,0,standard,1,3.4,132410,62,102,5.1,summer,2,0.1,0.53,MEDIUM,1
renovation,1,445.9,4,urban,2,premium,2,2.4,183022,42,29,14.5,autumn,3,0.3,0.0,LOW,0
commercial,2,361.9,7,suburban,1,standard,1,2.7,159924,105,52,2.6,summer,2,0.1,0.123,LOW,1
commercial,2,71.8,1,rural,0,premium,2,4.7,41218,86,58,7.1,autumn,3,0.3,0.27,LOW,0
landscaping,3,142.8,4,suburban,1,basic,0,2.1,71578,115,5,7.0,summer,2,0.1,0.01,LOW,0
house,0,251.4,2,suburban,1,premium,2,4.6,131266,110,74,8.9,winter,0,0.8,0.361,MEDIUM,1
commercial,2,385.8,1,suburban,1,premium,2,1.0,46427,59,71,4.1,summer,2,0.1,0.503,MEDIUM,1
landscaping,3,197.7,4,rural,0,basic,0,4.6,66206,61,23,2.1,summer,2,0.1,0.248,LOW,0
commercial,2,471.9,5,rural,0,basic,0,2.7,167035,92,70,3.0,spring,1,0.1,0.107,LOW,0
renovation,1,350.6,2,rural,0,premium,2,2.2,121236,52,39,9.7,spring,1,0.1,0.077,LOW,0
renovation,1,196.9,3,rural,0,basic,0,2.4,147935,74,11,8.9,autumn,3,0.3,0.0,LOW,1
commercial,2,275.9,3,urban,2,standard,1,2.6,114313,58,54,0.7,winter,0,0.8,0.345,LOW,1
renovation,1,79.1,5,rural,0,premium,2,1.3,75501,65,5,14.7,spring,1,0.1,0.003,LOW,0
landscaping,3,309.6,1,urban,2,standard,1,3.8,125304,17,44,8.2,autumn,3,0.3,0.501,MEDIUM,0
renovation,1,296.9,7,suburban,1,standard,1,3.2,53018,98,18,14.8,summer,2,0.1,0.062,LOW,1
house,0,232.7,7,rural,0,premium,2,1.6,27562,95,16,10.5,spring,1,0.1,0.102,LOW,0
house,0,318.6,1,rural,0,standard,1,1.6,139309,48,49,12.4,spring,1,0.1,0.174,LOW,0
house,0,194.9,6,suburban,1,standard,1,4.2,68995,96,35,2.8,spring,1,0.1,0.327,LOW,0
commercial,2,459.1,3,rural,0,basic,0,1.9,79293,67,41,8.9,summer,2,0.1,0.062,LOW,0
house,0,159.6,3,suburban,1,standard,1,1.1,137444,64,6,10.4,autumn,3,0.3,0.036,LOW,0
landscaping,3,253.5,4,rural,0,premium,2,2.0,132561,24,16,5.3,autumn,3,0.3,0.166,LOW,1
commercial,2,135.3,4,rural,0,basic,0,1.5,124495,113,13,1.1,summer,2,0.1,0.249,LOW,0
renovation,1,138.8,3,urban,2,standard,1,2.6,167561,110,10,5.1,summer,2,0.1,0.0,LOW,1
renovation,1,482.3,3,rural,0,premium,2,2.4,85569,64,48,8.3,summer,2,0.1,0.016,LOW,0
commercial,2,165.4,3,urban,2,premium,2,1.1,181914,10,11,6.6,spring,1,0.1,0.0,LOW,1
renovation,1,291.8,6,urban,2,premium,2,2.3,193892,37,15,14.4,autumn,3,0.3,0.024,LOW,1
landscaping,3,469.1,3,urban,2,standard,1,2.5,66734,86,23,6.3,winter,0,0.8,0.13,LOW,0
landscaping,3,348.4,5,urban,2,basic,0,2.6,91561,51,10,10.0,spring,1,0.1,0.0,LOW,1
renovation,1,141.5,4,suburban,1,standard,1,2.5,183437,38,8,6.8,spring,1,0.1,0.0,LOW,0
house,0,159.0,2,suburban,1,standard,1,3.3,68416,69,33,4.4,spring,1,0.1,0.061,LOW,1
landscaping,3,483.9,4,suburban,1,standard,1,1.9,46123,38,16,10.2,summer,2,0.1,0.171,LOW,1
house,0,218.1,7,suburban,1,premium,2,2.1,198115,9,16,15.0,summer,2,0.1,0.448,MEDIUM,1
renovation,1,232.6,3,rural,0,premium,2,4.8,40331,89,46,13.4,winter,0,0.8,0.264,LOW,0
landscaping,3,461.0,1,suburban,1,basic,0,1.6,38333,118,26,6.9,autumn,3,0.3,0.289,LOW,0
commercial,2,354.5,6,urban,2,basic,0,1.4,8236,84,19,2.8,summer,2,0.1,0.327,LOW,0
commercial,2,140.4,5,urban,2,basic,0,4.3,195065,87,23,3.9,spring,1,0.1,0.334,LOW,1
renovation,1,227.2,6,suburban,1,basic,0,1.9,86901,24,6,12.9,autumn,3,0.3,0.076,LOW,1
commercial,2,397.4,3,suburban,1,premium,2,2.2,12850,82,66,5.8,autumn,3,0.3,0.343,LOW,0
renovation,1,59.1,3,rural,0,premium,2,3.8,57941,13,14,2.4,winter,0,0.8,0.283,LOW,0
landscaping,3,73.8,5,urban,2,premium,2,4.3,162102,87,8,3.8,summer,2,0.1,0.373,MEDIUM,1
house,0,74.8,4,urban,2,basic,0,1.2,127159,107,5,1.7,winter,0,0.8,0.222,LOW,0
renovation,1,54.1,4,urban,2,premium,2,4.0,146868,21,6,6.2,spring,1,0.1,0.216,LOW,0
renovation,1,298.8,5,suburban,1,premium,2,4.0,35010,26,33,11.1,autumn,3,0.3,0.499,MEDIUM,1
house,0,89.0,2,urban,2,basic,0,1.2,11761,51,5,5.4,autumn,3,0.3,0.091,LOW,0
house,0,488.7,4,urban,2,standard,1,4.5,179660,42,105,2.3,winter,0,0.8,0.652,HIGH,1
landscaping,3,334.6,4,rural,0,premium,2,3.7,166083,15,33,8.4,autumn,3,0.3,0.451,MEDIUM,0
landscaping,3,338.5,3,urban,2,basic,0,2.4,135898,99,11,14.9,autumn,3,0.3,0.0,LOW,0
commercial,2,267.2,4,urban,2,basic,0,4.9,159795,41,41,8.9,autumn,3,0.3,0.253,LOW,0
commercial,2,249.8,2,rural,0,premium,2,2.7,92056,72,80,5.3,spring,1,0.1,0.073,LOW,1
house,0,124.7,5,rural,0,standard,1,2.7,59393,17,13,8.6,summer,2,0.1,0.066,LOW,0
house,0,414.6,7,urban,2,basic,0,2.9,100985,102,30,4.8,winter,0,0.8,0.172,LOW,0
landscaping,3,148.9,4,rural,0,standard,1,1.4,29561,46,6,1.9,autumn,3,0.3,0.323,LOW,0
renovation,1,101.3,3,rural,0,premium,2,3.4,122614,22,23,0.6,autumn,3,0.3,0.23,LOW,0
commercial,2,97.4,5,suburban,1,standard,1,2.9,188897,103,11,9.6,autumn,3,0.3,0.079,LOW,0
landscaping,3,58.2,5,rural,0,premium,2,3.4,170642,113,7,2.1,spring,1,0.1,0.309,LOW,0
commercial,2,309.2,4,rural,0,basic,0,2.3,95741,79,30,9.5,autumn,3,0.3,0.091,LOW,1
renovation,1,256.9,2,urban,2,basic,0,2.7,111888,30,16,7.6,winter,0,0.8,0.107,LOW,1
house,0,217.0,7,suburban,1,standard,1,4.6,117492,109,28,7.8,autumn,3,0.3,0.144,LOW,0
landscaping,3,312.4,6,rural,0,basic,0,4.2,173287,28,27,2.6,autumn,3,0.3,0.323,LOW,0
commercial,2,277.0,5,rural,0,standard,1,4.6,159477,39,61,12.6,spring,1,0.1,0.583,MEDIUM,1
house,0,149.2,5,rural,0,premium,2,2.1,47489,74,19,5.2,autumn,3,0.3,0.006,LOW,0
house,0,50.0,4,rural,0,basic,0,2.3,134686,20,5,2.3,winter,0,0.8,0.105,LOW,1
house,0,464.4,6,urban,2,basic,0,4.7,131709,115,47,13.5,autumn,3,0.3,0.209,LOW,0
house,0,170.4,3,rural,0,premium,2,1.0,143867,23,10,8.5,winter,0,0.8,0.06,LOW,0
landscaping,3,413.2,5,suburban,1,basic,0,4.8,115320,79,25,8.5,spring,1,0.1,0.222,LOW,0
house,0,343.1,5,rural,0,premium,2,2.6,51858,7,54,5.1,summer,2,0.1,0.379,MEDIUM,0
renovation,1,494.0,3,urban,2,premium,2,3.1,175356,105,48,13.4,summer,2,0.1,0.103,LOW,0
commercial,2,253.9,1,rural,0,standard,1,2.6,136139,76,83,9.1,spring,1,0.1,0.149,LOW,0
renovation,1,377.1,5,suburban,1,standard,1,3.3,140217,115,35,4.2,summer,2,0.1,0.221,LOW,0
house,0,497.5,3,urban,2,premium,2,3.5,41395,66,81,11.6,spring,1,0.1,0.522,MEDIUM,1
landscaping,3,404.4,3,urban,2,standard,1,1.8,29482,48,13,8.1,winter,0,0.8,0.136,LOW,0
commercial,2,160.6,1,urban,2,premium,2,1.3,16120,45,26,14.6,autumn,3,0.3,0.175,LOW,0
commercial,2,52.6,2,urban,2,standard,1,4.3,13108,49,16,4.4,autumn,3,0.3,0.26,LOW,0
renovation,1,336.9,4,suburban,1,standard,1,4.6,162935,65,53,2.5,spring,1,0.1,0.339,LOW,0
landscaping,3,456.6,4,rural,0,basic,0,1.8,141839,116,16,5.4,summer,2,0.1,0.098,LOW,0
renovation,1,374.2,1,suburban,1,basic,0,4.9,167475,60,99,5.3,autumn,3,0.3,0.715,HIGH,1
landscaping,3,216.1,1,urban,2,premium,2,3.7,64912,98,39,14.1,spring,1,0.1,0.16,LOW,0
landscaping,3,304.7,7,rural,0,standard,1,2.4,164075,35,14,5.4,spring,1,0.1,0.061,LOW,0
commercial,2,339.3,1,urban,2,basic,0,1.4,27257,99,36,13.2,autumn,3,0.3,0.22,LOW,1
commercial,2,30.1,3,rural,0,premium,2,3.6,91197,44,8,7.1,spring,1,0.1,0.093,LOW,0
house,0,93.6,1,suburban,1,standard,1,1.6,98096,13,12,8.1,winter,0,0.8,0.102,LOW,1
house,0,169.8,4,rural,0,premium,2,2.6,36719,23,23,9.5,spring,1,0.1,0.1,LOW,0
landscaping,3,49.7,2,rural,0,standard,1,4.5,117511,30,6,12.1,summer,2,0.1,0.168,LOW,0
house,0,295.9,6,rural,0,basic,0,1.6,38557,35,20,2.6,winter,0,0.8,0.11,LOW,0
landscaping,3,310.0,1,rural,0,premium,2,3.1,67229,54,62,9.0,spring,1,0.1,0.476,MEDIUM,0
landscaping,3,254.1,4,rural,0,premium,2,4.7,75160,96,41,4.5,summer,2,0.1,0.398,MEDIUM,0
commercial,2,441.3,7,suburban,1,standard,1,2.3,81857,50,58,1.1,summer,2,0.1,0.441,MEDIUM,1
commercial,2,302.9,5,suburban,1,standard,1,1.0,179538,80,12,12.2,autumn,3,0.3,0.12,LOW,0
landscaping,3,491.8,5,rural,0,premium,2,1.1,49205,113,19,2.4,autumn,3,0.3,0.168,LOW,0
commercial,2,209.0,6,rural,0,standard,1,1.5,41910,88,16,6.1,summer,2,0.1,0.0,LOW,0
landscaping,3,52.7,2,rural,0,premium,2,2.8,43885,74,6,5.6,spring,1,0.1,0.12,LOW,0
renovation,1,418.2,6,rural,0,standard,1,2.9,91850,91,31,6.5,autumn,3,0.3,0.122,LOW,0
commercial,2,314.4,4,rural,0,basic,0,1.1,98275,64,19,3.2,summer,2,0.1,0.022,LOW,0
renovation,1,388.9,3,suburban,1,premium,2,1.9,134972,21,25,9.6,spring,1,0.1,0.162,LOW,0
landscaping,3,378.9,5,urban,2,premium,2,2.5,14974,117,18,12.9,summer,2,0.1,0.4,MEDIUM,1
commercial,2,157.2,2,suburban,1,premium,2,1.6,103611,91,32,0.9,autumn,3,0.3,0.291,LOW,0
landscaping,3,497.5,1,rural,0,premium,2,3.2,192159,77,161,1.9,summer,2,0.1,0.719,HIGH,1
renovation,1,117.1,1,rural,0,premium,2,3.6,13889,113,36,9.0,autumn,3,0.3,0.321,LOW,0
renovation,1,470.4,1,urban,2,premium,2,1.5,29040,118,46,10.4,winter,0,0.8,0.413,MEDIUM,0
house,0,354.6,5,rural,0,premium,2,4.8,32799,19,131,1.8,winter,0,0.8,1.0,HIGH,1
house,0,346.0,7,suburban,1,basic,0,3.7,130155,33,29,11.6,spring,1,0.1,0.093,LOW,0
house,0,302.4,4,urban,2,basic,0,1.7,24193,73,13,14.5,winter,0,0.8,0.19,LOW,1
renovation,1,83.9,5,urban,2,standard,1,1.9,23908,88,5,12.1,summer,2,0.1,0.046,LOW,0
house,0,253.3,7,urban,2,premium,2,4.1,90225,117,41,5.6,autumn,3,0.3,0.336,LOW,1
landscaping,3,143.1,6,rural,0,basic,0,4.8,147397,94,11,6.3,autumn,3,0.3,0.162,LOW,1
house,0,115.0,6,rural,0,premium,2,1.8,163041,98,10,6.6,summer,2,0.1,0.076,LOW,1
commercial,2,408.0,5,rural,0,premium,2,1.7,191653,105,65,2.5,autumn,3,0.3,0.163,LOW,0
renovation,1,219.3,7,rural,0,basic,0,3.3,16540,34,13,10.3,spring,1,0.1,0.339,LOW,0
renovation,1,104.6,7,rural,0,premium,2,3.3,89640,91,10,14.9,summer,2,0.1,0.102,LOW,0
commercial,2,344.5,3,suburban,1,standard,1,3.8,119859,83,65,9.1,winter,0,0.8,0.145,LOW,0
commercial,2,251.7,7,suburban,1,standard,1,2.3,48797,94,20,11.3,spring,1,0.1,0.0,LOW,0
renovation,1,396.7,4,suburban,1,premium,2,3.8,69459,115,50,6.5,winter,0,0.8,0.119,LOW,0
house,0,91.3,1,rural,0,standard,1,1.5,55960,98,14,9.2,autumn,3,0.3,0.133,LOW,0
landscaping,3,33.0,6,urban,2,standard,1,4.6,52303,12,5,0.8,winter,0,0.8,0.447,MEDIUM,1
house,0,112.0,3,urban,2,basic,0,1.2,11032,70,5,8.5,winter,0,0.8,0.061,LOW,0
landscaping,3,451.4,4,suburban,1,premium,2,2.1,101432,113,21,9.0,summer,2,0.1,0.023,LOW,0
house,0,409.9,1,urban,2,basic,0,4.0,183043,7,120,5.2,spring,1,0.1,0.493,MEDIUM,0
renovation,1,401.6,2,urban,2,premium,2,2.2,113251,12,34,9.0,autumn,3,0.3,0.393,MEDIUM,1
commercial,2,113.3,7,rural,0,basic,0,1.7,106025,24,8,4.6,summer,2,0.1,0.14,LOW,1
house,0,36.5,7,rural,0,standard,1,4.5,65216,32,5,14.0,winter,0,0.8,0.184,LOW,0
renovation,1,446.5,7,urban,2,basic,0,3.7,162505,117,22,10.3,autumn,3,0.3,0.216,LOW,1
house,0,368.5,7,suburban,1,basic,0,1.5,129505,69,17,3.9,spring,1,0.1,0.239,LOW,0
landscaping,3,133.7,5,urban,2,premium,2,1.1,45844,19,5,10.3,summer,2,0.1,0.008,LOW,0
landscaping,3,387.2,2,urban,2,basic,0,3.7,186681,109,25,14.7,winter,0,0.8,0.159,LOW,1
commercial,2,172.6,3,rural,0,basic,0,4.5,34517,37,37,14.5,autumn,3,0.3,0.159,LOW,0
renovation,1,345.7,5,rural,0,standard,1,2.7,128244,76,28,5.8,autumn,3,0.3,0.0,LOW,0
commercial,2,177.2,5,rural,0,premium,2,1.9,84038,89,21,8.1,summer,2,0.1,0.144,LOW,1
landscaping,3,417.8,7,suburban,1,basic,0,4.0,179914,61,28,2.6,summer,2,0.1,0.342,LOW,0
landscaping,3,42.0,1,suburban,1,basic,0,1.2,99804,110,5,12.3,autumn,3,0.3,0.046,LOW,0
house,0,258.3,1,urban,2,standard,1,2.2,172446,33,43,11.9,spring,1,0.1,0.265,LOW,1
house,0,75.8,6,rural,0,standard,1,3.7,69665,87,10,10.2,spring,1,0.1,0.006,LOW,0
landscaping,3,173.8,4,urban,2,premium,2,4.2,172977,84,15,7.0,spring,1,0.1,0.127,LOW,0
landscaping,3,140.7,3,suburban,1,standard,1,4.2,189421,102,11,11.9,winter,0,0.8,0.291,LOW,1
house,0,311.0,6,rural,0,standard,1,2.0,175243,115,35,1.3,autumn,3,0.3,0.273,LOW,0
commercial,2,429.1,4,suburban,1,basic,0,1.8,165008,48,26,8.5,spring,1,0.1,0.0,LOW,0
house,0,270.2,7,rural,0,standard,1,2.9,159647,54,26,12.5,autumn,3,0.3,0.122,LOW,0
landscaping,3,424.3,7,rural,0,basic,0,3.8,184827,101,22,13.2,winter,0,0.8,0.225,LOW,0
commercial,2,221.7,6,urban,2,basic,0,2.3,18829,33,13,10.3,summer,2,0.1,0.136,LOW,0
landscaping,3,146.9,7,rural,0,standard,1,4.5,30796,110,12,6.2,autumn,3,0.3,0.158,LOW,0
landscaping,3,285.8,1,rural,0,premium,2,1.2,54850,84,27,5.5,spring,1,0.1,0.164,LOW,0
renovation,1,443.6,7,urban,2,standard,1,1.5,86093,20,11,14.7,spring,1,0.1,0.01,LOW,0
renovation,1,341.7,6,suburban,1,standard,1,2.7,87327,28,25,3.3,summer,2,0.1,0.174,LOW,0
landscaping,3,226.9,1,rural,0,basic,0,2.1,13982,10,19,7.9,spring,1,0.1,0.724,HIGH,1
landscaping,3,310.1,7,suburban,1,standard,1,4.4,55623,70,23,5.5,summer,2,0.1,0.121,LOW,0
landscaping,3,226.8,1,rural,0,standard,1,1.4,112996,92,16,12.7,summer,2,0.1,0.158,LOW,0
renovation,1,86.6,6,urban,2,premium,2,4.5,145943,103,9,10.7,autumn,3,0.3,0.192,LOW,0
renovation,1,64.3,3,suburban,1,basic,0,3.5,145150,111,5,11.4,spring,1,0.1,0.144,LOW,0
commercial,2,139.3,2,rural,0,standard,1,1.8,12597,19,28,1.7,summer,2,0.1,0.7,HIGH,1
landscaping,3,377.4,3,suburban,1,standard,1,3.7,104234,85,27,11.7,summer,2,0.1,0.094,LOW,0
landscaping,3,281.4,4,urban,2,premium,2,5.0,99230,112,28,8.7,spring,1,0.1,0.166,LOW,0
commercial,2,446.7,1,suburban,1,premium,2,4.4,23987,27,270,8.3,spring,1,0.1,1.0,HIGH,1
landscaping,3,183.2,2,suburban,1,basic,0,1.9,164680,26,7,12.5,autumn,3,0.3,0.0,LOW,0
commercial,2,143.3,7,suburban,1,premium,2,1.7,88490,63,14,4.7,autumn,3,0.3,0.213,LOW,0
renovation,1,441.7,4,suburban,1,standard,1,4.2,148795,48,66,2.0,summer,2,0.1,0.551,MEDIUM,0
landscaping,3,169.9,1,suburban,1,basic,0,2.3,136433,85,12,11.9,spring,1,0.1,0.034,LOW,0
renovation,1,88.2,4,urban,2,premium,2,1.1,153373,7,5,12.4,winter,0,0.8,0.139,LOW,0
landscaping,3,479.1,3,urban,2,basic,0,4.0,32105,67,27,7.5,autumn,3,0.3,0.272,LOW,0
commercial,2,423.1,3,urban,2,basic,0,1.1,161581,13,22,3.4,autumn,3,0.3,0.487,MEDIUM,0
landscaping,3,207.2,4,rural,0,premium,2,4.0,91863,102,22,10.5,summer,2,0.1,0.144,LOW,0
renovation,1,266.6,6,suburban,1,premium,2,3.6,85185,7,36,2.8,spring,1,0.1,0.619,HIGH,1
landscaping,3,71.1,2,suburban,1,basic,0,1.9,41262,29,5,4.5,autumn,3,0.3,0.221,LOW,1
landscaping,3,195.6,7,urban,2,standard,1,3.8,171321,97,9,14.2,autumn,3,0.3,0.058,LOW,0
house,0,81.1,7,suburban,1,premium,2,3.5,98160,35,12,5.5,winter,0,0.8,0.256,LOW,0
house,0,98.6,1,rural,0,premium,2,3.1,150415,64,40,9.6,summer,2,0.1,0.272,LOW,0
renovation,1,187.4,6,urban,2,premium,2,3.7,185630,16,23,2.7,winter,0,0.8,0.699,HIGH,1
landscaping,3,412.8,6,suburban,1,standard,1,2.0,88070,69,12,10.0,winter,0,0.8,0.093,LOW,1
house,0,305.7,7,rural,0,standard,1,4.0,143970,70,43,7.3,spring,1,0.1,0.27,LOW,0
renovation,1,81.6,7,suburban,1,standard,1,2.7,43872,66,6,0.9,autumn,3,0.3,0.318,LOW,0
landscaping,3,56.2,5,urban,2,premium,2,2.4,21979,47,5,1.7,spring,1,0.1,0.189,LOW,0
commercial,2,72.2,5,rural,0,standard,1,4.4,82468,68,15,12.3,winter,0,0.8,0.199,LOW,0
commercial,2,298.1,6,suburban,1,basic,0,1.8,149605,27,17,6.9,winter,0,0.8,0.036,LOW,0
renovation,1,442.0,2,suburban,1,standard,1,1.7,183715,88,33,3.4,summer,2,0.1,0.188,LOW,0
landscaping,3,31.8,3,rural,0,premium,2,4.0,121499,113,6,1.3,autumn,3,0.3,0.293,LOW,0
commercial,2,131.8,7,suburban,1,basic,0,4.0,184246,95,14,10.5,autumn,3,0.3,0.082,LOW,0
landscaping,3,419.8,3,suburban,1,basic,0,2.4,182362,23,20,4.8,summer,2,0.1,0.096,LOW,0
house,0,370.8,1,urban,2,basic,0,4.4,75835,58,98,12.0,winter,0,0.8,0.75,HIGH,1
commercial,2,189.4,4,urban,2,basic,0,4.2,169783,68,26,7.0,spring,1,0.1,0.064,LOW,0
renovation,1,212.1,5,urban,2,basic,0,2.9,125745,26,13,3.2,spring,1,0.1,0.16,LOW,0
commercial,2,125.9,7,urban,2,standard,1,2.9,10239,90,16,3.6,autumn,3,0.3,0.523,MEDIUM,1
renovation,1,479.9,6,suburban,1,premium,2,4.2,63435,96,52,8.1,spring,1,0.1,0.351,MEDIUM,0
renovation,1,240.0,2,urban,2,premium,2,3.0,88609,46,45,1.1,autumn,3,0.3,0.425,MEDIUM,0
landscaping,3,341.8,6,rural,0,premium,2,1.6,148943,26,12,11.1,spring,1,0.1,0.08,LOW,0
landscaping,3,391.8,4,urban,2,standard,1,2.7,65335,50,16,9.9,autumn,3,0.3,0.0,LOW,1
house,0,86.1,4,urban,2,basic,0,4.4,124756,57,13,3.3,spring,1,0.1,0.271,LOW,0
commercial,2,127.3,5,urban,2,basic,0,1.4,156476,65,5,10.4,winter,0,0.8,0.035,LOW,1
renovation,1,377.7,5,suburban,1,standard,1,3.1,128888,99,32,4.7,spring,1,0.1,0.164,LOW,0
landscaping,3,423.2,6,rural,0,standard,1,4.4,135051,41,42,4.9,autumn,3,0.3,0.233,LOW,0
commercial,2,120.6,7,urban,2,standard,1,2.0,15301,23,11,2.3,autumn,3,0.3,0.141,LOW,0
house,0,295.3,4,suburban,1,standard,1,1.7,142948,91,17,9.4,autumn,3,0.3,0.124,LOW,0
renovation,1,463.6,1,urban,2,premium,2,3.9,40838,57,117,7.6,summer,2,0.1,0.765,HIGH,1
house,0,146.9,2,urban,2,basic,0,3.1,70216,59,16,11.1,summer,2,0.1,0.123,LOW,0
house,0,394.0,2,rural,0,standard,1,2.7,133370,60,64,11.4,winter,0,0.8,0.141,LOW,0
renovation,1,62.8,4,suburban,1,premium,2,4.7,102963,7,8,11.0,spring,1,0.1,0.477,MEDIUM,1
landscaping,3,178.5,2,suburban,1,premium,2,4.7,7341,23,26,9.5,spring,1,0.1,0.573,MEDIUM,1
landscaping,3,346.2,5,suburban,1,basic,0,3.1,124766,45,13,7.5,autumn,3,0.3,0.066,LOW,0
renovation,1,79.9,4,urban,2,basic,0,2.0,43017,116,5,12.5,autumn,3,0.3,0.006,LOW,1
commercial,2,249.1,7,rural,0,basic,0,1.1,15285,93,14,2.2,summer,2,0.1,0.169,LOW,0
landscaping,3,426.7,2,urban,2,basic,0,1.4,81686,90,11,7.0,summer,2,0.1,0.026,LOW,0
house,0,186.2,5,suburban,1,basic,0,4.5,50115,93,21,11.6,spring,1,0.1,0.253,LOW,1
